username,pre_toxicity,post_toxicity,pre_security_judicial_score,post_security_judicial_score,pre_govt_oversight_score,post_govt_oversight_score,pre_individual_collective_score,post_individual_collective_score,pre_emergency_score,post_emergency_score,pre_domestic_international_score,post_domestic_international_score
AmiadCohen,73.33333333333333,75.0,73.33333333333333,66.0,8.0,7.9,6.666666666666667,6.7,4.666666666666667,6.8,88.33333333333333,66.0
SagiBarmak,75.0,76.66666666666667,74.0,58.333333333333336,6.8,6.666666666666667,4.6,5.5,5.2,5.388888888888889,86.0,56.388888888888886
ptr_dvd,75.83333333333333,76.78571428571429,36.666666666666664,69.28571428571429,5.333333333333333,8.0,3.1666666666666665,6.785714285714286,2.6666666666666665,6.642857142857143,61.666666666666664,80.71428571428571
